RECIPE_ID,COOKING_NO,COOKING_DC
233,1,"닭고기는 부드러운 안심 부위를 선택하여 얇게 포를 뜬 다음 소금, 후춧가루 뿌려 밑간을 한다."
233,2,콘플레이크는 잘게 부셔서 빵가루와 섞어둔다.
233,3,닭고기에 카레를 골고루 묻힌 다음 계란옷을 입히고 빵가루와 섞은 콘플레이크를 묻혀 바삭하게 튀긴다.
233,4,"고운 고춧가루 1/4작은술, 다진 마늘, 다진 양파 약간, 토마토케첩 1큰술, 간장 1/2큰술, 식초 1큰술, 올리브오일 2큰술을 잘 섞어 드레싱을 만든다."
233,5,먹기 직전에 드레싱을 뿌려 먹는다.
235,1,생태는 비늘을 긁어내고 지느러미와 내장을 제거한 뒤 깨끗이 씻어 토막낸다. 머리 부분도 버리지 말고 함께 끓인다.
235,2,바지락 은 모래가 많기 때문에 소금물에 담가 해감시킨 후 씻는다.
235,3,"무, 두부, 호박은 납작 썰어 준비한다."
235,4,팽이버섯은 끝부분만을 자른 뒤 흐르는 물에 씻어 적당하게 갈라두고 미나리는 다듬어 소금물에 담가 지저분한 것들을 제거한 뒤 깨끗이 씻어 6~7cm 길이로 썬다.
235,5,"청고추, 홍고추는 어슷썰어 씨를 털어낸다. 대파는 다듬어 큼직하게 어슷썬다."
235,6,"고춧가루에 양파즙, 무즙, 조미술, 간장, 다진 마늘, 다진 생강, 후춧가루를 넣어 찌개 양념장을 만든다."
236,1,"두부는 가로 2cm, 세로 3cm, 두께 0.5cm로 썬다."
236,2,굴은 굵은 소금물에 흔들어 씻어 건지고 양송이버섯은 0.5cm 두께로 썬다.
236,3,가는 파는 3cm 길이로 썬다.
236,4,"청고추, 홍고추는 반으로 갈라 채썰고 마늘은 다진다."
236,5,냄비에 물을 넣고 끓이다가 소금을 약간 넣은 뒤 두부와 굴을 넣어 계속 끓인다.
236,6,"⑤에 양송이버섯, 가는 파, 청고추, 홍고추를 넣는다."
237,1,두부는 모양이 으깨지지 않도록 씻어 도톰하고 납작하게 썰어 준비하고 잘 익은 김치는 속을 털어내고 송송 썰어 준비한다.
237,2,느타리버섯은 적당한 굵기로 잘라놓고 생표고 팽이버섯도 먹기 좋게 준비한다.
237,3,돼지고기는 잘게 썰고 양파는 채썰어 준비한다.
237,4,"청고추, 대파는 어슷하게 썰어놓고 마늘, 생강은 다진다."
237,5,"냄비에 참기름을 두르고 돼지고기, 김치, 양파를 달달 볶다가 물을 넣어 한소끔 끓인다."
237,6,"고춧가루 1큰술, 국간장 1큰술, 다진 양파, 다진 마늘, 깨소금, 어슷썬 청고추를 섞어 양념장을 만든다."
238,1,"김치는 속을 털어내고 씻어서 물기를 짠 다음 일부분만 잘라 설탕 1큰술, 참기름으로 양념한다."
238,2,"당근, 오이, 단무지는 잘게 다지고 당근만 살짝 볶는다."
238,3,쇠고기는 양념하여 프라이팬에 기름을 두르고 볶다가 밥과 ②의 재료를 넣고 살짝 볶아 밥을 준비한다.
238,4,김치잎을 펴서 볶아둔 밥을 놓고 흐트러지지 않게 오므려 싼 다음 미나리 데친 것으로 가운데를 묶어준다.
239,1,홍합은 싱싱한 것으로 준비해 껍질에 붙어있는 지저분한 수염을 떼어내고 연한 소금물에 담가 해감시킨다.
239,2,대파는 어슷썰고 홍고추도 어슷썰어 물에 헹구어 씨를 뺀다. 실파는 3~4cm 길이로 썬다.
239,3,"냄비에 분량의 물과 홍합을 넣고 한소끔 끓으면 다진 마늘, 대파, 홍고추, 실파를 넣고 끓이면서 떠오르는 거품을 걷어내고 소금으로 간을 맞춘다."
240,1,돼지갈비는 기름기를 떼어내고 손질하여 칼집을 충분히 내 찬물에 담가 핏물을 빼준다.
240,2,"홍고추는 배를 갈라 씨를 털어내어 어슷썰고 감자와 당근, 무를 밤톨 크기로 썰어 가장자리를 둥글려준다."
240,3,큰 그릇에 분량의 양념 재료를 섞어 양념장을 만들어 ①의 갈비에 재워놓는다.
240,4,프라이팬에 기름을 넉넉히 두르고 홍고추를 볶아 고추기름을 낸 후 재운 갈비를 앞뒤로 노릇하게 지진다.
240,5,"④에 감자, 무, 당근을 넣고 뒤적이면서 돼지갈비가 잠길 정도로 물을 부어, 뚜껑을 덮고 끓이다가 갈비가 익을 무렵 고추장과 고춧가루를 넣고 윤기나게 조려낸다."
241,1,가래떡은 단단할 때 어슷썰어 준비한다.
241,2,"소시지는 가로, 세로  칼집을 넣어서 준비하고 양파, 피망은 넓적하게 썰고 대파는 어슷썬다."
241,3,물이 끓으면 떡을 넣고 고추장과 양념 재료를 넣어 자작하게 조린다.
241,4,③에 ②의 준비한 야채를 넣고 숨이 죽을 정도로만 조려 상에 낸다.
242,1,"돼지고기는 삼겹살 부위로 선택하여 3∼4mm 두께로 썰어 맛술, 생강즙에 재워둔다."
242,2,"약한 불에 고추장, 고춧가루, 간장, 설탕, 마늘, 깨소금, 후춧가루, 참기름을 혼합하여 양념장을 만들어 준비된 고기에 양념장을 버무려 놓는다."
242,3,양념된 고기는 달군 돌판에 잘 뒤집어 가며 굽고 돌판이 없으면 석쇠에 호일을 깔고 굽는다.
242,4,"그릇에 된장, 고추장, 다진 파, 다진 마늘, 깨소금, 식초, 설탕, 참기름 등을 혼합하여 쌈장을 만들어 놓는다."
242,5,대파는 줄기 부분만 쪽을 떼어 곱게 채썰어 냉수에 잠깐 담근 후 물기를 빼고 고춧가루로 물을 들여 참기름과 통깨를 넣고 살살 무쳐서 곁들인다.
243,1,배추는 속이 찬 것을 골라 2등분 또는 4등분하여 소금물에 절였다가 깨끗이 씻어 큼직하게 썰어놓는다.
243,2,"밤은 껍질을 벗겨 편썰어 준비하고 갓, 미나리, 실파는 4~5㎝길이로 썰며 배는 납작하게 썰어놓는다."
243,3,"고춧가루에 물을 2큰술 넣고 섞어 불려서 액체육젓, 다진 마늘, 다진 생강, 설탕, 통깨를 섞어 고추양념을 만들어놓는다."
243,4,"고추양념에 배추, 밤, 갓, 미나리, 실파, 배를 넣고 소금으로 간을 해 고루 버무려낸다."
245,1,사골은 찬물에 담가 핏물을 뺀 후 냄비에 물을 붓고 끓이다가 첫 물은 따라버리고 다시 물을 부어 끓인다.
245,2,사태는 덩어리째 핏물을 뺀 후 ①에 같이 넣고 푹 익힌다.
245,3,우거지는 끓는 물에 소금을 넣고 푹 삶은 후 찬물에 담가 냄새를 우려낸 뒤 물기를 꼭 짜고 5cm 폭으로 썰고 고기는 건져서 얄팍하게 저민다.
245,4,"③에 된장, 마늘을 넣어 골고루 무친다."
245,5,"뽀얗게 우러난 사골 국물을 4컵 정도 냄비에 넣고 ④를 넣어 한소끔 끓으면 어슷하게 파, 고추를 넣고 소금으로 간을 맞춘 다음 고춧가루를 조금 넣는다."
246,1,"양파, 당근은 곱게 다지고 청, 홍고추는 씨를 제거한 후 곱게 다지고 실파는 송송 썬다."
246,2,참치는 체에 밭쳐 기름을 제거한 후 곱게 으깨어 놓는다.
246,3,"유리볼에 찬밥과 다진 양파, 당근, 청, 홍고추, 실파와 분량의 계란물, 밀가루, 소금, 후춧가루를 넣어 재료들이 잘 섞이도록 반죽을 한다."
246,4,후라이팬에 기름을 두르고 뜨거워지면 ③을 한 수저씩 떠 놓는다.
246,5,④를 둥글게 모양을 만들어 앞 뒤로 노릇하게 지진다.
247,1,팥은 쭉정이를 골라 내고 깨끗하게 씻어서 준비한다.
247,2,냄비에 팥의 4배 정도의 물을 붓고 한소끔 끓이다가 팥물을 따라내 버린다.
247,3,다시 냄비에 물을 팥의 4배 정도 넣고 끓이면서 소금을 약간 넣고 설탕량의 2/3 정도를 넣 고 팥알이 충분히 삶아질 수 있도록 약한 불에 은근히 끓인다.
247,4,인절미를 네모나게 썰어 약간 굳힌 다음 석쇠에 놓고 살짝 부풀정도로 굽는다.
247,5,나머지 설탕을 넣어서 팥알이 충분히 설탕맛이 배고 국물이 농축되면 그릇에 담고 구워 놓은 떡과 대추 고명을 얹어 낸다.
248,1,쇠고기는 불고기용으로 얇게 썰어 분량의 쇠고기양념 재료를 넣고 무친다.
248,2,"무는 4cm 길이로 납작하게 썰고 표고버섯은 어슷썬다. 팽이버섯은 밑둥을 자르고 미나리는 깨끗이 씻어 준비한다. 대파와 고추는 어슷썰고, 양파는 굵게 채썬다."
248,3,낙지는 먹통과 내장을 제거한 뒤 굵은 소금을 뿌려 거품이 날 정도로 주물러 깨끗이 씻어 물기를 빼고 5cm 길이로 썬다.
248,4,전골냄비에 재료들을 보기 좋게 담고 물 3컵을 부어 끓이고 소금으로 간한다.
249,1,중간 크기의 잔멸치를 준비해 채에 담아 흔들어 부스러기와 티를 없앤다.
249,2,분량의 된장에 맛술을 섞어 고운 체에 밭쳐 거른다.
249,3,프라이팬에 기름을 두르고 뜨거워지면 ①의 멸치를 넣고 약한 불에서 나무젓가락이나 주걱으로 가볍게 볶는다.
249,4,"③에 분량의 간장, 설탕, 다진 마늘과 준비한 된장을 넣고 고루 양념이 섞이도록 저어가며 바삭하게 볶은 다음 깨소금을 뿌린다."
249,5,상추를 깨끗이 씻어 그 위에 밥을 놓고 볶은 멸치를 올린다.
250,1,"다진 쇠고기는 간장 1큰술, 설탕 1/2작은술, 마늘 1작은술, 후춧가루, 참기름에 양념하여 프라이팬에 기름을 두르고 볶아 놓는다."
250,2,콩나물은 꼬리를 떼고 깨끗이 다듬어 끓는 소금물에 데친다.
250,3,당근은 껍질을 벗겨 곱게 채썰고 미나리도 같은 길이로 잘라 뜨거운 프라이팬에 기름을 두르고 소금 간을 하며 볶는다.
250,4,"유부는 끓는 물에 데쳐 기름을 빼고 채썰어 소금, 참기름에 무쳐 놓는다."
250,5,"고슬하게 지은 밥을 그릇에 적당히 담아, 볶아 놓은 모든 재료를 색 맞추어 올리고 분량의 양념 재료를 넣어 양념장을 곁들여 낸다."
251,1,바게트를 1.5cm 두께로 어슷하게 썰어 프라이팬에 노릇하게 굽는다.
251,2,"달군 프라이팬에 베이컨을 채썰어 먼저 볶고 김치, 당근, 양송이, 피망도 채썰어 함께 볶는다."
251,3,바게트 위에 ②를 얹고 모짜렐라치즈를 얹어 180℃의 오븐에 넣고 7~10분간 굽는다.
251,4,접시에 담기 전 파슬리가루를 솔솔 뿌려 담아 낸다.
252,1,"오이, 양배추는 가늘게 채썰고 깻잎과 상추는 흐르는 물에 씻은 후 손으로 먹기 좋은 크기고 찢는다."
252,2,"청고추는 어슷하게 썰어 찬물에 담가 씨를 뺀 후 김치는 송송 썰고 깨소금, 참기름을 넣고 무친다."
252,3,"고추장 2큰술, 식초 2큰술, 설탕 1큰술, 깨소금, 참기름을 섞어 양념장을 만든다."
252,4,끓는 물에 소금을 약간 넣고 국수를 넣어 쫄깃하게 삶은 후 찬물에 열기를 식힌다.
252,5,그릇에 채소들을 보기좋게 담은 후 국수를 사리로 틀어 같이 담아낸다.
252,6,초고추장 소스를 뿌려 비벼먹는다.
253,1,오징어는 소금을 발라가며 껍질을 손쉽게 벗긴 후 깨끗이 씻어 끓는 물에 살짝 데쳐 한입 크기로 길쭉하게 썬다.
253,2,"당근과 양파는 깨끗이 씻어 네모지게 잘게 썰고, 표고버섯은 밑동을 칼끝으로 떼어낸 후 작게 썬다."
253,3,옥수수는 삶아서 칼끝으로 떼어내거나 통조림을 사용한다. 완두콩은 데쳐서 사용하거나 통조림으로 준비한다.
253,4,오목한 그릇에 물과 계란을 골고루 푼 다음 녹말가루를 넣어 튀김옷을 만든다.
253,5,"데쳐놓은 오징어는 물기를 없앤 뒤 밀가루를 살짝 묻혀 털어내고, 튀김옷을 입혀 180℃ 정도의 달궈진 기름에서 튀긴다. 식으면 다시 한 번 튀겨낸다."
253,6,"프라이팬에 기름을 두르고 잘게 썬 당근, 양파, 표고버섯, 옥수수, 완두콩을 넣어 볶다가 육수를 넣는다. 육수가 보글보글 끓으면 간장과 설탕, 소금, 식초, 조미술을 넣어 맛을 낸 뒤, 물녹말을 조금씩 넣어 농도를 맞추고 참기름을 넣는다."
254,1,콩나물은 꼬리를 제거하고 깨끗이 씻은 후 소금을 넣은 끓는 물에 살짝 데친다.
254,2,"쇠고기는 잘게 썰어 간장, 다진 마늘, 다진 파, 깨소금, 후춧가루, 참기름으로 약하게 양념해둔다."
254,3,양파와 당근은 납작하게 썰고 느타리버섯은 손으로 ？어놓는다.
254,4,멸치를 넣어 장국을 만든다.(멸치의 비린맛을 없애려면 기름기 없는 후라이팬에서 살짝 볶아 국물을 우려낸다.)
254,5,"냄비에 ④의 멸칫국물을 붓고 고기와 당근, 양파를 넣고 끓인 다음 콩나물과 느타리버섯을 넣고 끓이면서 피쉬소스나 간장으로 간을 맞춘다."
254,6,"⑤가 어느정도 끓기 시작하면 소금, 후춧가루로 간을 맞춘 후 물녹말로 농도를 맞춘다."
255,1,다시물을 끓여 놓는다.
255,2,다시마는 표면에 묻은 분가루를 손질하여 ①의 국물에 넣고 같이 끓인 다음 체에 밭쳐 걸러 놓는다.
255,3,"무, 당근은 큼직하게 썰어 살짝 삶고 계란도 반완숙하여 껍질을 벗긴다."
255,4,어묵은 먹기좋은 크기로 썰어 끓는물에 살짝 한 번 데쳐낸다.
255,5,꼬지에 ④의 어묵을 끼운다.
255,6,겨자는 따끈한 물로 잘 개어 끓는 냄비 뚜껑 위에 엎어 놓고 10분 정도 발효시켜서 다시 한 번 젓는다.
256,1,닭다리는 깨끗이 씻어 뼈를 중심으로 양옆에 칼집을 넣으면서 뼈를 발라낸 후 껍질을 벗겨 잘게 썬다.
256,2,"잘게 썬 닭고기에 간장, 조미술, 녹말가루를 넣어 간이 배도록 조물조물 버무린다."
256,3,"마늘, 생강은 납작하게 저며 썬 후 가늘게 채썬다."
256,4,마른 고추는 어슷하게 썰어 씨를 털어내고 실파는 깨끗이 씻어 4cm 길이로 썬다
256,5,프라이팬에 기름을 두르고 뜨겁게 달군 후 양념한 닭고기를 넣어 달라붙지 않게 젓가락으로 저어가며 튀기듯이 볶아낸다.
256,6,"간장에 식초, 조미술, 설탕, 굴소스, 토마토케첩을 넣어 골고루 저어 굴소스를 만든다."
257,1,쌀은 미리 씻어 충분히 불려 물기를 빼 놓는다.
257,2,밤과 고구마는 먹기 좋게 썰고 은행은 기름에 살짝 볶아 껍질을 벗긴다. 대추는 씨를 기점으로 돌려깎기 하여 잘게 썰어둔다.
257,3,냄비에 참기름을 살짝 두르고 위의 재료를 볶다가 쌀을 넣어 투명해질 때까지 같이 볶아준다.
257,4,③에 다시마 국물을 자작하게 넣어 밥을 짓는다.
257,5,"간장에 다시마 국물을 넣고 다진 파, 다진 마늘, 깨소금, 참기름을 고루 섞어 양념장을 만들어 채소밥에 곁들인다."
258,1,도라지는 잘게 찢어 소금물에 삶아 내고 씻어 물기를 짜 놓는다.
258,2,고사리는 억센 부분을 잘라내고 다듬어 6~7cm 길이로 썬다.
258,3,시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜놓는다.
258,4,콩나물은 깨끗이 씻어 끓는물에 데쳐 물기를 짜놓는다.
258,5,"도라지, 시금치, 콩나물은 소금, 깨소금, 참기름, 다진 파, 마늘, 들깻가루로 양념하여 조물조물 묻힌다."
258,6,"후라이팬에 기름을 살짝 두르고 고사리를 볶다가 간장, 물, 깨소금, 다진 파, 다진 마늘 등을 넣어 촉촉하게 양념하면서 볶는다."
259,1,"흰떡은 6cm 길이, 0.5cm 폭으로 채썰어 참기름과 간장을 섞어 만든 유장으로 골고루 버무려 놓는다."
259,2,쇠고기는 불고기용으로 준비하여 채썰어 고기 양념을 한다.
259,3,"양파, 피망, 당근도 손질하여 흰 떡과 같은 길이로 가늘게 채썬다."
259,4,팬에 기름을 넉넉히 두르고 뜨겁게 달군 다음 양념한 고기를 넣어 볶다가 채소와 김치를 넣고 함께 볶는다.
259,5,고기와 채소가 거의 익으면 흰 떡을 넣어 고루 섞으면서 볶다가 참기름을 두르고 통깨를 훌훌 뿌린다.
260,1,두부는 1cm 정도의 두께로 썰어 깨끗한 행주로 물기를 제거한 후 소금으로 약하게 간하여 프라이팬에 노릇하게 지져낸다.
260,2,지져낸 두부는 열기를 식혀 냉장고에 차게 보관한다.
260,3,"쇠고기는 편육용으로 삶아 식힌다. (삶을 때는 쇠고기의 냄새를 없애기 위해 마늘, 통후추 등을 소량 넣어 준다)"
260,4,"양배추, 오이, 당근, 쇠고기, 두부는 길이 5cm, 넓이 2cm 정도의 막대모양으로 썬다."
260,5,"땅콩가루 1큰술, 식초 1큰술, 간장 1/2큰술, 갠겨자 1/2큰술, 황설탕 1/2큰술, 소금, 참기름약간을 믹서기에 넣고 곱게 갈아 땅콩겨자소스를 만들어 차게 보관해 둔다."
260,6,접시에 위의 재료를 보기좋게 담은 후 땅콩겨자소스를 곁들여 낸다.
261,1,"밀가루에 소금, 참기름을 넣어 고루 비벼 체에 내린다."
261,2,"①의 밀가루에 분량의 조청, 생강즙, 청주를 넣어서 반죽을 질지 않게 한다."
261,3,반죽을 밀대로 0.5cm 정도로 밀고 원형 틀로 찍어 모양을 잡는다.
261,4,분량의 물과 설탕을 냄비에 넣고 반으로 줄 때까지  졸여 집청시럽을 만든다.
261,5,130~140℃의 기름에서 천천히 색이 나도록 튀긴다.
261,6,약과가 튀겨지면 집청시럽에 담갔다가 건진다.
262,1,"참치는 기름을 뺀 후 실파, 깨소금, 후춧가루를 넣고 양념하고 밥은 맛소금을 넣어 간한다."
262,2,계란은 완숙하여 노른자만 체에 내려놓고 파슬리는 곱게 다져 물기를 꼭 짜고 당근은 살짝 삶아 곱게 다진 후 물기를 꼭 짠다.
262,3,"랩을 사방 10cm 정도로 잘라 한 입 크기로 밥을 놓고 속에 참치를 넣어 부드럽게 뭉친 다음 계란노른자, 파슬리가루, 당근가루, 흰 깨를 나누어 묻히고 적당히 김띠를 두른다."
262,4,깨끗한 거즈에 밥을 펴서 중심에 게맛살과 참치를 놓고 오이를 채썰어 얹어 김밥모양으로 돌돌 만다.
262,5,"④를 칼에 물을 묻혀가며 1.5cm 폭으로 썰어 남은 파슬리, 당근, 깨, 노른자가루를 보기 좋게 묻혀 ③과 같이 곁들여 낸다."
263,1,"미역은 물에 담가 충분히 불리고, 손으로 비벼 깨끗이 씻어 물기를 뺀 후 먹기 좋은 크기로 썬다."
263,2,"유부는 납작하게, 두부는 1cm x 1cm로 깍둑썰고, 실파는 송송 썬다."
263,3,"냄비에 멸치, 다시마, 다시물을 붓고 된장을 풀고 미림을 넣어 끓인다."
263,4,"국물이 한소끔 끓으면 준비해둔 미역, 유부, 두부를 넣어 끓이다가 다 끓으면 송송 썬 실파를 넣는다."
264,1,"밀가루에 물과 소금을 넣고 시금치즙, 당근즙, 각각 넣어 잘 치대어 삼색으로 반죽한다."
264,2,"호박은 납작하게 반달썰기하고, 감자는 껍질을 벗겨 먹기 좋은 크기로 썬다. 대파는 어슷하게 썰고, 양파는 굵직하게 반달썰기 한다."
264,3,멸치와 다시마를 넣고 끓이다가 국물이 어느정도 우러나면 맑게 걸러낸다.
264,4,"맛국물에 감자, 호박, 양파를 넣고 끓이다가 반죽을 손으로 얇게 떠서 넣고 팔팔 끓인다. 한소끔 끓으면 청정원 맛선생과 국간장, 다진 마늘, 대파를 넣어 간을 맞춘다."
265,1,고들빼기는 다듬어서 소금물에 절인 다음 무거운 것으로 눌러 일주일 정도 삭힌다.
265,2,일주일 정도 삭힌 고들빼기는 물에 쓴 맛을 우려내어 체에 건져놓는다.
265,3,밴댕이 젓등의 젓갈류를 준비하여 다져놓고 삭힌 고추는 걸러놓는다.
265,4,"갓, 실파등은 길이 10cm 길이로 썰어 젓국에 절여 놓는다."
265,5,젓국에 고춧가루와 설탕을 함께 개어 놓는다.
265,6,"고들빼기, 고추, 갓 등의 양채를 양념에 넣어 고루 버무린 다음 항아리에 차곡차곡 담은 후 우거지를 덮어 소금을 뿌리고 무거운 것으로 누른 다음 익으면 먹도록 한다."
266,1,달래는 깨끗이 손질하여 3cm 길이로 썰어둔다.
266,2,굴은 껍질을 제거하고 소금물에 살살 비벼 씻은 후 깨끗한 물에 헹구어 물기를 제거한다.
266,3,"청, 홍고추는 얇고 둥글게 썰어 물에 씻어 씨를 털어낸다."
266,4,"큰 볼에 밀가루 1컵, 계란 1개, 물 2/3컵을 넣어 밀가루가 응어리지지 않게 잘 섞는다."
266,5,"4번 반죽에 손질한 달래, 굴, 고추, 실파 등을 넣어 잘 섞은 후 소금으로 간을 심심하게 맞춘다."
266,6,팬에 기름을 넉넉히 두르고 ⑤의 재료를 한숟가락씩 펴서 평평하게 지져낸다.
267,1,달래는 뿌리부분을 자르지 말고 깨끗이 다듬어 흐르는 물에서 가볍게 씻은 후 소쿠리에 건져 물기를 없앤 다음 5cm 길이로 썰어 놓는다.
267,2,"마늘, 생강은 곱게 다져 준비한다."
267,3,고춧가루는 미지근한 물에 설탕을 조금 넣고 개어 놓는다.
267,4,"개어놓은 고춧가루와 다진 마늘, 생강을 분량의 진간장에 조금 넣고 ①의 달래를 가볍게 버무려 통깨를 뿌린 후 그릇에 담아낸다."
268,1,두릅은 연한 것으로 겉껍질을 벗겨 내고 깨끗이 손질하여 끓는 소금물에 데쳐 낸 다음 찬물에 헹구어 꼭 짜 놓는다.
268,2,파와 마늘은 곱게 다져 놓는다.
268,3,"된장에 다진 파, 마늘, 참기름, 깨소금 등을 넣어 양념장을 만든다."
268,4,큰 볼에 데쳐낸 두릅과 양념장을 조물조물 무쳐낸다.
269,1,"숙주나물은 숙주의 머리, 뿌리를 제거한 후 끓는 물에 소금을 약간 넣고 살짝 데친다."
269,2,미나리는 불순물을 깨끗이 제거하기 위해 소금과 식초를 넣은 물에 잠시 담갔다가 살짝 데친 후 물기를 꽉 짜준다.
269,3,파와 마늘은 곱게 다지고 홍고추는 링모양으로 썬 후 씨를 털어낸다.
269,4,"위의 숙주와 미나리, 다진 파, 마늘을 섞어 소금, 깨소금, 참기름 등을 넣어 양념한다."
270,1,참나물은 깨끗이 다듬어 끓는 물에 삶아 찬물에 헹구어 물기를 꼭 짠다.
270,2,"고추장에 다진 파, 다진 마늘, 깨소금, 참기름을 넣어 양념 고추장을 만든다."
270,3,삶아 놓은 참나물에 ②의 양념장을 넣어 골고루 버무린다.
271,1,오징어는 깨끗이 씻은 후 껍질을 벗기고 안쪽에 다이아몬드 모양으로 칼집을 넣는다.
271,2,칼집 낸 오징어에 꼬치를 꽂아 칼집모양이 밖으로 보일 수 있도록 돌돌 만다.
271,3,"마늘, 대파, 생강은 곱게 다져서 준비한다."
271,4,"고추장 1큰술, 고춧가루 1/2큰술, 간장 1작은술, 물엿 1큰술, 양파즙, 생강즙, 다진 파, 다진 마늘, 깨소금, 후춧가루, 참기름을 섞어 양념장을 만든다."
271,5,꼬치에 꽂은 오징어를 살짝 익히고 나서 ④번 양념장을 골고루 발라가며 타지 않게 굽는다. 구울 때 수분이 적으면 청주를 조금씩 넣어준다.
272,1,"닭고기는 깨끗이 손질하여 적당한 크기로 토막내어 마늘, 생강 저민 것을 넣고 푹 삶은 다음 고기는 건져 살코기만 잘게 찢고, 뼈는 다시 넣어 끓여 육수를 낸 후 건져낸다."
272,2,콩나물은 꼬리를 떼고 소금물에 데친다.
272,3,"오이는 채썰어 소금에 절였다가 물기를 꼭 짜고, 김치는 속을 털어내고 송송 썬다."
272,4,"고춧가루에 간장, 다진 파, 다진 마늘, 깨소금, 참기름을 넣어 양념장을 만든다."
272,5,"닭 살, 콩나물, 오이, 김치를 양념장으로 골고루 버무려 밥 위에 소담히 담아낸다."
273,1,김치는 얇게 썰어둔다.
273,2,두부는 끓는물에 데쳐 삼각모양으로 0.8cm 두께로 썰어 놓는다.
273,3,"돼지고기는 가제에 싸서 끓는물에 대파, 생강, 소금을 넣고 삶은 후 알맞게 썬다."
273,4,"접시에 돼지고기를 깔고, 두부를 돌려 담은 후 김치를 얹어 보기좋게 준비한다."
273,5,쌈채소와 쌈장을 곁들이면 더욱 좋다.
274,1,호박은 5mm 두께로 반달모양으로 썰고 두부는 8mm 두께로 네모지게 썬다.
274,2,"청고추, 파는 어슷하게 썬다."
274,3,냄비에 기름을 두르고 호박을 넣어 볶다가 새우젓을 넣고 잠시 더 볶아 물을 잘박하게 붓는다.
274,4,"③이 한소끔 끓으면 두부, 청고추, 파, 다진 마늘을 넣고 끓인 뒤 소금으로 간을 맞추고 참기름을 친다."
275,1,해파리는 먼저 옅은 소금물에 10분간 담그고 끓는물에 데친다.
275,2,"물에 데친 해파리는 식초, 설탕물에 5분 정도 담근 후 물기를 제거해 준비한다."
275,3,쭈꾸미는 끓는물에 살짝 데쳐 식힌다.
275,4,새우도 내장과 껍질을 제거한 후 살짝 데쳐 식힌다.
275,5,"겨자 2큰술, 머스터드 1/2큰술, 마늘, 식초, 간장, 소금, 참기름을 섞어 해파리 겨자소스를 만든다"
275,7,"오이, 당근, 피망, 계란 지단은 5cm 길이로 채썬다."
276,1,"닭고기는 뼈를 발라 내고 힘줄 부분을 칼끝으로 끊고 방망이로 두드려 연하게 한 다음 소금, 후춧가루를 뿌려 간한다."
276,2,당근은 사방 1cm 넓이로 사각지게 썰어 살짝 데체고 완두콩은 소금물에 삶아 놓는다.
276,3,"닭고기 살쪽에 밀가루를 약간 뿌리고 중심에 당근, 완두콩, 옥수수 알을 돌돌 말아서 무명실로 촘촘하게 묶는다."
276,4,둥근 팬에 식용유를 두르고 뜨거워지면 닭고기를 넣어 굴려가며 갈색나게 굽는다
276,5,버터를 충분히 넣어 속까지 익으면 도톰하게 썰어 접시에 담고 분량의 양념재료로 만든 토마토케첩소스를 곁들인다.
277,1,아스파라거스는 4cm 길이로 썰어서 끓는 물에 소금을 넣고 살짝 데친다.
277,2,새우는 꼬지로 등의 내장을 빼고 소금물에 삶아 껍질을 벗긴다.
277,3,샐러리는 섬유질을 벗겨내고 어슷썬다.
277,4,"프라이팬에 기름을 두르고 뜨거워지면 미림, 샐러리와 아스파라거스를 볶다가 손질한 새우를 넣고 살짝 볶아 소금, 후춧가루로 간한다."
278,1,밀가루에 물과 소금을 넣고 반죽하여 치댄 다음 비닐에 싸서 약 20분 정도 두었다가 둥글게 얇게 만두피를 만든다.
278,2,배추는 깨끗이 씻어 아주 곱게 다져 소금을 뿌리고 잠시 절였다가 물기를 꼭 짜내고 부추도 깨끗이 씻어 물기를 빼고 잘게 썰어 놓는다.
278,3,"오목한 그릇에 갈아놓은 쇠고기를 넣고 간장, 식용유, 물을 넣어 잘 섞은 다음 배추, 부추를 넣고 다진 파, 다진 마늘, 소금, 후춧가루로 양념하여 잘 버무려 섞는다."
278,4,얇게 민 만두피에 만두소를 조금 얹어 안쪽으로 오무려 붙여 예쁜 꽃만두가 되게 한다.
278,5,꽃만두는 끓는 물에 넣어 3분 정도 끓여 익으면 건져낸다.
278,6,"냄비에 육수를 부어 팔팔 끓으면 익혀낸 꽃만두를 넣고 다진 파와 다진 마늘, 소금, 후춧가루로 간을 맞춘 다음 한소끔 끓으면 팽이버섯과 쑥갓을 넣고 살짝 익혀 불에서 내린다."
279,1,"돼지고기는 등심으로 얇게 저며 썰어 간장, 조미술, 후춧가루로 양념한 다음 녹말가루로 살살 버무려 잠시 둔다."
279,2,"마늘, 생강은 납작납작하게 편으로 썰고, 대파와 청고추는 어슷하게 썬다."
279,3,표고버섯은 미지근한 물에 불려 씻어 뒷부분의 기둥을 잘라 내고 저며 썬다. 양파는 약간 굵직하게 채썬다.
279,4,"속이 깊은 팬에 기름을 두르고 청고추, 대파, 마늘, 생강을 넣어 살살 볶다가 돼지고기를 넣어 함께 볶는다."
279,5,"육수나 표고버섯 불린 물을 부어 끓이면서 소금과 굴소스, 후춧가루로 간을 맞춘다."
279,6,자작하게 끓으면 물녹말을 넣어 걸쭉하게 농도를 낸 후 참기름을 살짝 두른다.
